City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
8,Kavaratti,IN,81.05,clear sky,10.5669,72.642,Green leaf
16,Muisne,EC,76.82,broken clouds,0.6,-80.0333,Quinta Samay
17,Atuona,PF,78.08,scattered clouds,-9.8,-139.0333,Villa Enata
23,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Hotel Tesoro
25,Bowen,AU,80.76,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
26,Kilindoni,TZ,81.01,scattered clouds,-7.9139,39.6668,Bustani B&B
33,Karratha,AU,81.23,broken clouds,-20.7377,116.8463,ibis Styles Karratha
38,Parkes,AU,75.83,clear sky,-33.1333,148.1833,Station Motel
39,Rikitea,PF,78.3,clear sky,-23.1203,-134.9692,People ThankYou
44,Broken Hill,AU,84.22,clear sky,-31.95,141.4333,Royal Exchange Hotel
47,Mount Gambier,AU,84.06,clear sky,-37.8333,140.7667,The Commodore
48,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
51,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
56,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Nabire,ID,78.48,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
65,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
68,Butaritari,KI,80.37,light rain,3.0707,172.7902,Isles Sunset Lodge
71,Iquitos,PE,78.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
74,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
86,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
88,Atambua,ID,75.65,overcast clouds,-9.1061,124.8925,Ros Muskanan
92,Amahai,ID,81.39,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
93,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
97,Calabozo,VE,85.19,overcast clouds,8.9242,-67.4293,Hotel Giardini
103,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
104,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
108,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
110,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
116,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
118,Luis Correia,BR,80.06,scattered clouds,-2.8792,-41.6669,Hotel Amarração
119,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
122,Maragogi,BR,78.33,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
125,Pak Phanang,TH,75.22,broken clouds,8.3511,100.202,Green Park Inn Hotel
126,Tiarei,PF,87.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
136,Lima,PE,75.9,scattered clouds,-12.0432,-77.0282,Hotel Kamana
139,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
146,Hervey Bay,AU,80.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
156,Kailua,US,83.61,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
164,Mazamari,PE,75.99,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
172,Beloha,MG,75.87,overcast clouds,-25.1667,45.05,
176,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
180,Fare,PF,81.05,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Kavieng,PG,84.4,broken clouds,-2.5744,150.7967,Nusa Island Retreat
192,Bonthe,SL,76.69,clear sky,7.5264,-12.505,Bonthe Holiday Village
194,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
198,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Biak,ID,80.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
202,Itaqui,BR,85.64,scattered clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
206,Srandakan,ID,77.92,broken clouds,-7.9386,110.2506,Puri Brata
216,Juba,SS,75.78,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
220,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
225,Forbes,AU,79.66,clear sky,-33.3833,148.0167,Lake Forbes Motel
227,San Patricio,US,78.17,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
228,Lazaro Cardenas,MX,80.29,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
232,Samarai,PG,82.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
233,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
240,Poum,NC,83.25,moderate rain,-20.2333,164.0167,
243,Aloleng,PH,76.95,scattered clouds,16.1307,119.7824,Aloleng
249,Sorong,ID,82.38,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
258,Bonfim,BR,81.36,moderate rain,3.0833,-59.95,
263,Arenal,CO,79.39,broken clouds,8.4593,-73.9433,Hotel Azteca
274,Lorengau,PG,84.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
275,Caravelas,BR,75.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,Hithadhoo,MV,79.81,broken clouds,-0.6,73.0833,Scoop Guest House
288,Tautira,PF,80.71,light rain,-17.7333,-149.15,Pension Oaoa
291,Mackay,AU,88.68,broken clouds,-21.15,149.2,International Lodge Motel
295,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
300,Bathsheba,BB,79.41,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
301,Faanui,PF,81.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
