City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kaitangata,NZ,-46.2817,169.8464,62.6,56,0,12.8,clear sky
1,Teguise,ES,29.0605,-13.564,61.02,72,20,9.22,few clouds
2,Beyneu,KZ,45.3167,55.2,15.82,58,93,21.16,overcast clouds
3,Naze,JP,28.3667,129.4833,54.52,64,1,8.66,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,59.11,51,0,6.91,clear sky
5,Divo,CI,5.8397,-5.36,74.98,85,68,3.49,broken clouds
6,Martil,MA,35.6166,-5.2752,58.96,67,0,9.22,clear sky
7,Lazdijai,LT,54.2333,23.5167,27.88,95,97,11.41,overcast clouds
8,Kavaratti,IN,10.5669,72.642,81.05,64,2,6.93,clear sky
9,Chebsara,RU,59.2002,38.8356,0.75,98,98,6.15,overcast clouds
10,Qena,EG,26.1615,32.7183,56.41,48,57,5.79,broken clouds
11,Fairhope,US,30.523,-87.9033,66.65,75,0,5.75,clear sky
12,Mataura,NZ,-46.1927,168.8643,69.26,35,1,6.58,clear sky
13,Kuznechnoye,RU,61.12,29.8686,10.02,78,100,5.88,overcast clouds
14,Longyearbyen,SJ,78.2186,15.6401,26.44,63,40,11.5,scattered clouds
15,Chapais,CA,49.7834,-74.8492,8.38,99,100,5.06,overcast clouds
16,Muisne,EC,0.6,-80.0333,76.82,79,58,7.72,broken clouds
17,Atuona,PF,-9.8,-139.0333,78.08,77,36,14.18,scattered clouds
18,Saskylakh,RU,71.9167,114.0833,-33.02,98,99,3.4,overcast clouds
19,Evensk,RU,61.95,159.2333,-16.47,79,17,6.02,few clouds
20,Gelemso,ET,8.8167,40.5167,58.75,57,3,3.83,clear sky
21,Dikson,RU,73.5069,80.5464,-1.03,93,100,10.04,overcast clouds
22,Burnie,AU,-41.0667,145.9167,62.26,75,82,8.55,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,27,4.0,scattered clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,79.9,65,0,4.61,clear sky
25,Bowen,AU,-20.0167,148.2333,80.76,72,98,10.67,overcast clouds
26,Kilindoni,TZ,-7.9139,39.6668,81.01,78,44,10.36,scattered clouds
27,Castro,BR,-24.7911,-50.0119,59.86,87,69,8.72,broken clouds
28,Jiaonan,CN,35.8786,119.9753,40.93,81,53,7.29,broken clouds
29,Bluff,NZ,-46.6,168.3333,61.9,60,0,15.46,clear sky
30,Naberera,TZ,-4.2,36.9333,63.03,77,46,8.59,scattered clouds
31,Alta Floresta,BR,-9.8756,-56.0861,71.01,96,99,1.28,overcast clouds
32,Upernavik,GL,72.7868,-56.1549,-14.76,87,32,9.28,scattered clouds
33,Karratha,AU,-20.7377,116.8463,81.23,64,57,21.09,broken clouds
34,Vancouver,CA,49.2497,-123.1193,46.45,95,100,11.5,moderate rain
35,Yellowknife,CA,62.456,-114.3525,9.12,92,100,6.91,light snow
36,Bunia,CD,1.5667,30.25,62.91,50,32,3.13,scattered clouds
37,Albany,US,42.6001,-73.9662,35.67,73,100,8.01,overcast clouds
38,Parkes,AU,-33.1333,148.1833,75.83,35,0,3.09,clear sky
39,Rikitea,PF,-23.1203,-134.9692,78.3,74,1,14.12,clear sky
